baseobjectIdentifier,blastModified,baselastModifiedBy,basedeleted,baseobjectCreationDateTime,exchangeRateAreaIndetifier,exchangeRateAreaName,exchangeRateAreaStartDate,exchangeRateAreaEndDate,constrainingInsuranceMarketLevelType,ns3objectIdentifier,ns3lastModified,ns3lastModifiedBy,ns3deleted,ns3objectCreationDateTime,ns2referenceTypeName,ns2referenceTypeCode,ns2resourceIdentifier,ns2zipCode,ns2statePostalCode
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,568192,2019-11-26T20:16:41.488-05:00,"",false,2019-11-26T20:16:41.488-05:00,CountyPlace,48245,ffe.county.names.fips.Jefferson,77641,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,862910,2019-11-26T20:16:41.778-05:00,"",false,2019-11-26T20:16:41.778-05:00,CountyPlace,48245,ffe.county.names.fips.Jefferson,77726,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,1076426,2019-11-26T20:16:41.435-05:00,"",false,2019-11-26T20:16:41.435-05:00,CountyPlace,48245,ffe.county.names.fips.Jefferson,77627,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,1080323,2019-11-26T20:16:41.775-05:00,"",false,2019-11-26T20:16:41.775-05:00,CountyPlace,48245,ffe.county.names.fips.Jefferson,77720,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,718803,2019-11-26T20:16:41.504-05:00,"",false,2019-11-26T20:16:41.504-05:00,CountyPlace,48245,ffe.county.names.fips.Jefferson,77642,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,39749,2019-11-26T20:16:41.324-05:00,"",false,2019-11-26T20:16:41.324-05:00,CountyPlace,48245,ffe.county.names.fips.Jefferson,77613,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,200851,2019-11-26T20:16:41.481-05:00,"",false,2019-11-26T20:16:41.481-05:00,CountyPlace,48245,ffe.county.names.fips.Jefferson,77640,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,2446,2019-11-26T20:16:41.725-05:00,"",false,2019-11-26T20:16:41.725-05:00,CountyPlace,48245,ffe.county.names.fips.Jefferson,77706,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,277226,2019-11-26T20:16:41.774-05:00,"",false,2019-11-26T20:16:41.774-05:00,CountyPlace,48245,ffe.county.names.fips.Jefferson,77725,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,1239683,2019-11-26T20:16:41.516-05:00,"",false,2019-11-26T20:16:41.516-05:00,CountyPlace,48245,ffe.county.names.fips.Jefferson,77655,48
